(12/20/2023 12:23:39 PM) |> ----------------------------------------------
(12/20/2023 12:23:39 PM) |> Method; (SetupFormClass.SetupFormClass) [Start Up]
(12/22/2023 11:32:16 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player 0
(12/22/2023 11:32:16 AM) |> method; (GameLogicClass.CardClickLogic), Card Index; (3), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, skip), Player Index (0)
(12/22/2023 11:32:16 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:16 AM) |> method; (CardClass.SetPBLocation), x, y; (530, 740)
(12/22/2023 11:32:16 AM) |> method; (CardClass.SetPBLocation), x, y; (585, 740)
(12/22/2023 11:32:16 AM) |> method; (CardClass.SetPBLocation), x, y; (640, 740)
(12/22/2023 11:32:16 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 740)
(12/22/2023 11:32:16 AM) |> method; (CardClass.SetPBLocation), x, y; (750, 740)
(12/22/2023 11:32:16 AM) |> method; (CardClass.SetPBLocation), x, y; (805, 740)
(12/22/2023 11:32:16 AM) |> method; (CardClass.SetPBLocation), x, y; (860, 740)
(12/22/2023 11:32:16 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (860, 860)
(12/22/2023 11:32:16 AM) |> method; (PlayerClass.UpdatePoints) [1428]
(12/22/2023 11:32:16 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:32:16 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue skip; 20 Points
(12/22/2023 11:32:16 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:16 AM) |> method; (CardClass.SetPBLocation), x, y; (555, 5)
(12/22/2023 11:32:16 AM) |> method; (CardClass.SetPBLocation), x, y; (610, 5)
(12/22/2023 11:32:16 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/22/2023 11:32:16 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/22/2023 11:32:16 AM) |> method; (CardClass.SetPBLocation), x, y; (775, 5)
(12/22/2023 11:32:16 AM) |> method; (CardClass.SetPBLocation), x, y; (830, 5)
(12/22/2023 11:32:16 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (830, 830)
(12/22/2023 11:32:16 AM) |> method; (PlayerClass.UpdatePoints) [1262]
(12/22/2023 11:32:16 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:32:16 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue skip; 20 Points
(12/22/2023 11:32:16 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:32:16 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (7)
(12/22/2023 11:32:16 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-2)
(12/22/2023 11:32:16 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (20), Added; (blue skip; 20 Points)
(12/22/2023 11:32:16 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:32:16 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (False),
Player0 CardCount; (7)
Player1 CardCount; (6)
    PlusAmount (0)
    Discard Pile Count; (20), Top Card; (blue skip; 20 Points)
(12/22/2023 11:32:17 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (3)
(12/22/2023 11:32:17 AM) |> method; (GameLogicClass.cardPB_Click), Card Index (3)
(12/22/2023 11:32:17 AM) |> method; (GameLogicClass.CardPlay), c_card; (blue) (reverse), reverce, True
(12/22/2023 11:32:17 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:32:17 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player max-1
(12/22/2023 11:32:17 AM) |> method; (GameLogicClass.AddLogic)
(12/22/2023 11:32:17 AM) |> method; (GameLogicClass.CardClickLogic), In skip
(12/22/2023 11:32:17 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player max-1
(12/22/2023 11:32:17 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player -1 0
(12/22/2023 11:32:17 AM) |> method; (GameLogicClass.CardClickLogic), Card Index; (3), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, reverse), Player Index (0)
(12/22/2023 11:32:17 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:17 AM) |> method; (CardClass.SetPBLocation), x, y; (555, 740)
(12/22/2023 11:32:17 AM) |> method; (CardClass.SetPBLocation), x, y; (610, 740)
(12/22/2023 11:32:17 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 740)
(12/22/2023 11:32:17 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 740)
(12/22/2023 11:32:17 AM) |> method; (CardClass.SetPBLocation), x, y; (775, 740)
(12/22/2023 11:32:17 AM) |> method; (CardClass.SetPBLocation), x, y; (830, 740)
(12/22/2023 11:32:17 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (830, 830)
(12/22/2023 11:32:17 AM) |> method; (PlayerClass.UpdatePoints) [1473]
(12/22/2023 11:32:17 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:32:17 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue reverse; 20 Points
(12/22/2023 11:32:17 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:17 AM) |> method; (CardClass.SetPBLocation), x, y; (555, 5)
(12/22/2023 11:32:17 AM) |> method; (CardClass.SetPBLocation), x, y; (610, 5)
(12/22/2023 11:32:17 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/22/2023 11:32:17 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/22/2023 11:32:17 AM) |> method; (CardClass.SetPBLocation), x, y; (775, 5)
(12/22/2023 11:32:17 AM) |> method; (CardClass.SetPBLocation), x, y; (830, 5)
(12/22/2023 11:32:17 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (830, 830)
(12/22/2023 11:32:17 AM) |> method; (PlayerClass.UpdatePoints) [1330]
(12/22/2023 11:32:17 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:32:17 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue reverse; 20 Points
(12/22/2023 11:32:17 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:32:17 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (5)
(12/22/2023 11:32:17 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (3)
(12/22/2023 11:32:17 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (21), Added; (blue reverse; 20 Points)
(12/22/2023 11:32:17 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:32:17 AM) |> method; (GameLogicClass.GameLogicClass) [Game INIT], UpdateScreen;
    is_Flipped (False),
    is_Reverced (True),
Player0 CardCount; (6)
Player1 CardCount; (6)
    PlusAmount (0)
    Discard Pile Count; (21), Top Card; (blue reverse; 20 Points)
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (3)
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.cardPB_Click), Card Index (3)
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.CardPlay), c_card; (blue) (+2), add, 2
(12/22/2023 11:32:18 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player max-1
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.CardClass)
(12/22/2023 11:32:18 AM) |> method; (RandomNumber.Between), Between; (min: 0, max: 74), Value; (30)
(12/22/2023 11:32:18 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.CardClass)
(12/22/2023 11:32:18 AM) |> method; (RandomNumber.Between), Between; (min: 0, max: 73), Value; (1)
(12/22/2023 11:32:18 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.AddCards), cards added; (AddCards Index: 1 AddCards Index: 1 )
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.AddLogic)
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.NextPlayer), current; (0), max (2), next player max-1
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.CardClickLogic), Card Index; (3), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, +2), Player Index (1)
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (585, 740)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (640, 740)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 740)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (750, 740)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (805, 740)
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (805, 805)
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.UpdatePoints) [1508]
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue +2; 10 Points
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (500, 5)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (555, 5)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (610, 5)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (665, 5)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (720, 5)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (775, 5)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (830, 5)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (885, 5)
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (885, 885)
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.UpdatePoints) [1403]
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue +2; 10 Points
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.ActivateClick)
(12/22/2023 11:32:18 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (-9)
(12/22/2023 11:32:18 AM) |> method; (RandomNumber.Between), Between; (min: -10, max: 10), Value; (3)
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.DisplayDiscardPile), Discard Pile Count; (22), Added; (blue +2; 10 Points)
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.DisplayDrawPile) [nothing to do]
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (blue +2; 10 Points
(12/22/2023 11:32:18 AM) |> method; (RandomNumber.Between), Between; (min: 0, max: 2), Value; (0)
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (1)
(12/22/2023 11:32:18 AM) |> method; (AIClass.Play()) [AI Play], Current player team; (2), Player e_Hand amount; (3), Card index; (0), Card (e_Hand); (System.Drawing.Bitmap), game.is_Flipped; (False); CardIndex (Hand); 1
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.FindPictureInList), Card Index; (1)
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.CardPlay), c_card; (green) (+2), add, 2
(12/22/2023 11:32:18 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player -1 0
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.CardClass)
(12/22/2023 11:32:18 AM) |> method; (RandomNumber.Between), Between; (min: 0, max: 72), Value; (35)
(12/22/2023 11:32:18 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.CardClass)
(12/22/2023 11:32:18 AM) |> method; (RandomNumber.Between), Between; (min: 0, max: 71), Value; (51)
(12/22/2023 11:32:18 AM) |> method; (Extensions.pop), Thing Popped; (uno.CardClass)
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.AddCards), cards added; (AddCards Index: 0 AddCards Index: 0 )
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.AddLogic)
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.NextPlayer), current; (1), max (2), next player -1 0
(12/22/2023 11:32:18 AM) |> method; (GameLogicClass.CardClickLogic), Card Index; (1), Card Color; (System.Drawing.Bitmap), Top Deck (System.Windows.Forms.PictureBox, SizeMode: StretchImage, +2), Player Index (0)
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (530, 740)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (585, 740)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (640, 740)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 740)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (750, 740)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (805, 740)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (860, 740)
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (860, 860)
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.UpdatePoints) [1555]
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.DrawCards) [Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Remove Same, Player.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw SamePlayer.Team == 1; Draw Same]
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (green +2; 10 Points
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.DeactivateClick)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (530, 5)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (585, 5)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (640, 5)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (695, 5)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (750, 5)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (805, 5)
(12/22/2023 11:32:18 AM) |> method; (CardClass.SetPBLocation), x, y; (860, 5)
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.FindCardPosition), Positions x,y (860, 860)
(12/22/2023 11:32:18 AM) |> method; (PlayerClass.UpdatePoints) [1466]
(12/22/2023 11:32:19 AM) |> method; (PlayerClass.DrawCards) [Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 && !Game.GameRules["do_Flip"]; Remove Back, Player.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw BackPlayer.Team (2) != 1 &&! Game.GameRules["do_Flip"]; Draw Back]
(12/22/2023 11:32:19 AM) |> method; (PlayerClass.EligableCards) [find e_Hand], eHand; (System.Windows.Forms.PictureBox, SizeMode: StretchImage, System.Windows.Forms.PictureBox, SizeMode: StretchImage, ), Top deck (green +2; 10 Points
